domain,specification,repeat,fold,n_train,n_test,train_prompts,test_prompts,r2,rmse,mae
pooled,H+E,6,0,1192,298,399,100,0.22063898639084722,0.4384959045266159,0.32986272908182973
pooled,H+E,6,1,1193,297,399,100,0.22893503940757143,0.5401527450866926,0.37254051427955936
pooled,H+E,6,2,1190,300,399,100,0.17989541526379538,0.4833237738148202,0.34229641753330614
pooled,H+E,6,3,1191,299,399,100,0.28498697653791105,0.48023043635588886,0.3303464750103204
pooled,H+E,6,4,1194,296,400,99,0.17623522100768862,0.4670748259718802,0.3302598891995106
pooled,H+E,7,0,1190,300,399,100,0.21451829838157865,0.451447585478845,0.33394062656371964
pooled,H+E,7,1,1191,299,399,100,0.15363886464414933,0.4497461630273709,0.32999585533341236
pooled,H+E,7,2,1194,296,399,100,0.3166690523674329,0.44757621644786244,0.3143265235496797
pooled,H+E,7,3,1191,299,399,100,0.1891542054779647,0.5388978359746515,0.379953811607376
pooled,H+E,7,4,1194,296,400,99,0.20016178795488127,0.5263830247326665,0.3488838452702956
pooled,H+E,8,0,1192,298,399,100,0.33777914962700584,0.44383073539415974,0.32975481199502743
pooled,H+E,8,1,1190,300,399,100,0.16967088122538754,0.5157878251958085,0.3711733187051824
pooled,H+E,8,2,1193,297,399,100,0.23195064472174143,0.5235693786568235,0.3562134303369461
pooled,H+E,8,3,1192,298,399,100,0.19997153192457684,0.44281810578847774,0.310337939121585
pooled,H+E,8,4,1193,297,400,99,0.14292041383197696,0.4862002574236312,0.3370162558373959
pooled,H+E,9,0,1193,297,399,100,0.2554291506556966,0.39647881591751943,0.3147632281268717
pooled,H+E,9,1,1190,300,399,100,0.28641693467953666,0.474587669297862,0.3409185989591077
pooled,H+E,9,2,1190,300,399,100,0.11409649163650593,0.5415378081448878,0.3576938518271404
pooled,H+E,9,3,1192,298,399,100,0.24339155724068873,0.5076541570105129,0.3410745529240725
pooled,H+E,9,4,1195,295,400,99,0.1594046225577519,0.49272237914341194,0.3516521161258411
pooled,H+E,10,0,1193,297,399,100,0.15307965758681874,0.5448976215240388,0.36217605155549254
pooled,H+E,10,1,1190,300,399,100,0.24883177703497517,0.49724359598262513,0.3450931741991818
pooled,H+E,10,2,1190,300,399,100,0.2454859453214202,0.49300894131429124,0.35378496411430177
pooled,H+E,10,3,1194,296,399,100,0.16734622510515396,0.4238568524931585,0.3284412958332894
pooled,H+E,10,4,1193,297,400,99,0.24832439612208212,0.459767796318118,0.3219982792575826
pooled,H+E,11,0,1192,298,399,100,0.3614685071658543,0.41173316709125113,0.3029749774053694
pooled,H+E,11,1,1192,298,399,100,0.1274458545014493,0.5283610955573843,0.3655243420096064
pooled,H+E,11,2,1190,300,399,100,0.27410987822641586,0.4569176532484255,0.3327620843376558
pooled,H+E,11,3,1193,297,399,100,0.29823659527751323,0.4380081405937185,0.3170419095103029
pooled,H+E,11,4,1193,297,400,99,0.07031173706114802,0.5729264364890367,0.3926839789882735
pooled,H+E,12,0,1191,299,399,100,0.2004724013857594,0.5002903933721293,0.34878795328736645
pooled,H+E,12,1,1194,296,399,100,0.21880743567238137,0.3919721240751911,0.31135913514160923
pooled,H+E,12,2,1190,300,399,100,0.31390525462969776,0.46691226449720774,0.34155172900837266
pooled,H+E,12,3,1192,298,399,100,0.1602087605308289,0.5830785536199065,0.36863449210809274
pooled,H+E,12,4,1193,297,400,99,0.18919442251787089,0.46545929320287965,0.3411267984580555
pooled,H+E,13,0,1191,299,399,100,0.0854633083637425,0.5606217635899445,0.39003045432693956
pooled,H+E,13,1,1191,299,399,100,0.20871549897680797,0.4870783593535405,0.3394081229871147
pooled,H+E,13,2,1190,300,399,100,0.34967202147249477,0.4042594300644319,0.3228162516635144
pooled,H+E,13,3,1192,298,399,100,0.21599274014730807,0.5231993667394637,0.3363473520788923
pooled,H+E,13,4,1196,294,400,99,0.29136210865071854,0.4221059729077442,0.3170794213088943
pooled,H+E,14,0,1193,297,399,100,0.2843827381941564,0.44077002345405447,0.3130273490229122
pooled,H+E,14,1,1191,299,399,100,0.20292081047846922,0.4432052859598055,0.3148087636697102
pooled,H+E,14,2,1191,299,399,100,0.16541424899053292,0.47993060124880965,0.330120606704175
pooled,H+E,14,3,1192,298,399,100,0.18523494367534854,0.5413721885969546,0.39351367062044096
pooled,H+E,14,4,1193,297,400,99,0.2528047317045332,0.5058953585335312,0.3522652471677005
pooled,H+E,15,0,1190,300,399,100,0.25474385598329263,0.5050101626019942,0.37247643276777403
pooled,H+E,15,1,1191,299,399,100,0.23630272137312258,0.45432201486524393,0.3112368588845935
pooled,H+E,15,2,1192,298,399,100,0.15260876632493592,0.4135090584144657,0.33648823085408713
pooled,H+E,15,3,1193,297,399,100,0.1988906945589305,0.4990900466655675,0.33808402588181735
pooled,H+E,15,4,1194,296,400,99,0.22696318913757263,0.5368795089358945,0.3491607045713012
pooled,H+E,16,0,1194,296,399,100,0.17227007246056913,0.5001751425303463,0.3413405631874621
pooled,H+E,16,1,1191,299,399,100,0.22241768402777584,0.5348224614402952,0.3515202215371139
pooled,H+E,16,2,1190,300,399,100,0.16440761595686637,0.5322708333073829,0.3649507715997982
pooled,H+E,16,3,1191,299,399,100,0.2285927841990838,0.4101313081910165,0.32372977701435196
pooled,H+E,16,4,1194,296,400,99,0.3265818964070225,0.4265035545889484,0.3230945308699169
pooled,H+E,17,0,1191,299,399,100,0.21526981562133196,0.5503938229192107,0.3530420003172741
pooled,H+E,17,1,1192,298,399,100,0.23843418173658482,0.4646463630630242,0.345419718479479
pooled,H+E,17,2,1192,298,399,100,0.2521484876839182,0.5069201698558778,0.3329687879506767
pooled,H+E,17,3,1191,299,399,100,0.1226344030294646,0.4781468316637395,0.35502099123472464
pooled,H+E,17,4,1194,296,400,99,0.20057663691615235,0.4151863163691432,0.32538268761408523
pooled,H+E,18,0,1192,298,399,100,0.31506071340643294,0.41338906169259315,0.32714754664883994
