domain,specification,predictors,n,n_prompt_groups,cv_r2_mean,cv_r2_sd_across_repeats,cv_r2_boot_ci_low,cv_r2_boot_ci_high,cv_rmse,cv_mae,cv_spearman,cv_pearson,in_sample_r2,in_sample_adj_r2,fold_r2_min,fold_r2_max
health,H_only,H,415,140,-0.007392913091467762,0.005271835894448062,-0.0517919063889424,0.004250944075947642,0.4033919717609936,0.19086733902720154,-0.004944426696494746,0.0077890297156814935,0.006890753008783057,0.0044861301347123295,-1.8603461293175414,0.018105953835036215
health,E_only,E,415,140,0.03324369352629899,0.010295420275882788,-0.09759173113343957,0.07518643304928396,0.39516810271051944,0.19622925210739284,0.04769620727884419,0.1909762230569195,0.05872812127820126,0.05644901261301527,-2.60923164457268,0.10518311642167755
health,D_only,D,415,140,0.2411310355406358,0.030073328017359895,-0.09886281044955131,0.36779700977515206,0.35005278561460396,0.18518927077908867,0.051483106006345425,0.49349401780171487,0.2866374925179088,0.28491022252400544,-4.358224247271515,0.49130381304159576
health,F_only,F,415,140,0.02662551363255413,0.015971016257729898,-0.10587690665894722,0.07432230863795704,0.3965110846466358,0.1966072867274359,0.04307368036807139,0.17723791480849893,0.058429421895364375,0.05614958998712061,-3.5385628452935247,0.11102876007905349
health,H+E,H+E,415,140,0.030650083334129725,0.010172434511785892,-0.10067542903161472,0.07288928720790551,0.39569797507627397,0.19655765200798225,0.04380660944128217,0.18596760814355012,0.05879787822032456,0.05422893588158828,-2.60800299732679,0.10534343793971412
health,H+D,H+D,415,140,0.2392182563546667,0.0299921039489637,-0.10176322439404736,0.3694322374963398,0.3504942811323622,0.18527133580923938,0.060451405348591225,0.4918613534442696,0.2877883016636582,0.28433096332221963,-4.337398972043611,0.4928100805443786
health,H+F,H+F,415,140,0.028580586899946286,0.01547602331802656,-0.12395273480366262,0.07824781481693657,0.39611342631691154,0.19935787283123177,0.052509905686889714,0.18640457818441417,0.0668369574770662,0.06230703979491614,-4.1762482407324635,0.1266594582034506
health,H+E+D,H+E+D,415,140,0.2324230127119263,0.031010211387266555,-0.11344347781896605,0.3639550860872805,0.35205272063255033,0.1860768838668364,0.05473124984741677,0.4858686340202488,0.2877959131295481,0.2825973431523916,-4.337526014662052,0.4883276168129671
health,H+E+F,H+E+F,415,140,0.08258102019627578,0.02028576554787184,-0.16589438422895542,0.15807759770509236,0.384935511564841,0.20814384015352805,0.09633631563403847,0.29568353015202364,0.1332235321497397,0.12689669661798597,-4.921734259624591,0.2277934316093806
health,H+D+F,H+D+F,415,140,0.2622281076776645,0.029665157530895922,-0.08210736556148587,0.3940953878457362,0.3451507401407154,0.18879386165448672,0.08370621478543147,0.514829856716134,0.3187733392186536,0.31380088184068755,-4.8173802068102525,0.501536639406553
